rank,bgg_id,name,year_published,min_players,max_players,min_playtime_minutes,max_playtime_minutes,minimum_age,average_rating,bayes_average,users_rated,average_weight,versions_count,videos_count,image_url,bgg_url
1,224517,Brass: Birmingham,2018,2,4,60,120,14,8.5596,8.39003,59920,3.86,37,15,https://cf.geekdo-images.com/x3zxjr-Vw5iU4yDPg70Jgw__original/img/FpyxH41Y6_ROoePAilPNEhXnzO8=/0x0/filters:format(jpeg)/pic3490053.jpg,https://boardgamegeek.com/boardgame/224517
2,342942,Ark Nova,2021,1,4,90,150,14,8.53801,8.35351,62733,3.7979,37,15,https://cf.geekdo-images.com/SoU8p28Sk1s8MSvoM4N8pQ__original/img/g4S18szTdrXCdIwVKzMKrZrYAcM=/0x0/filters:format(jpeg)/pic6293412.jpg,https://boardgamegeek.com/boardgame/342942
3,161936,Pandemic Legacy: Season 1,2015,2,4,60,60,13,8.50133,8.34404,57743,2.8283,37,15,https://cf.geekdo-images.com/-Qer2BBPG7qGGDu6KcVDIw__original/img/PlzAH7swN1nsFxOXbfUvE3TkE5w=/0x0/filters:format(png)/pic2452831.png,https://boardgamegeek.com/boardgame/161936
4,174430,Gloomhaven,2017,1,4,60,120,14,8.53334,8.29097,67627,3.9195,28,15,https://cf.geekdo-images.com/sZYp_3BTDGjh2unaZfZmuA__original/img/7d-lj5Gd1e8PFnD97LYFah2c45M=/0x0/filters:format(jpeg)/pic2437871.jpg,https://boardgamegeek.com/boardgame/174430
5,397598,Dune: Imperium – Uprising,2023,1,6,60,120,13,8.69894,8.25767,19950,3.5258,15,15,https://cf.geekdo-images.com/UVUkjMV_Q2paVUIUP30Vvw__original/img/BoUtCkd1NRO0bR1R5EwL51xIuXA=/0x0/filters:format(jpeg)/pic7664424.jpg,https://boardgamegeek.com/boardgame/397598
6,316554,Dune: Imperium,2020,1,4,60,120,14,8.40641,8.21854,59577,3.0784,20,15,https://cf.geekdo-images.com/PhjygpWSo-0labGrPBMyyg__original/img/mZzaBAEEJpMlHWWmC0R6Su0OibQ=/0x0/filters:format(jpeg)/pic5666597.jpg,https://boardgamegeek.com/boardgame/316554
7,233078,Twilight Imperium: Fourth Edition,2017,3,6,240,480,14,8.56024,8.21791,28931,4.3625,14,15,https://cf.geekdo-images.com/_Ppn5lssO5OaildSE-FgFA__original/img/kVpZ0Maa_LeQGWxOqsYKP3N4KUY=/0x0/filters:format(jpeg)/pic3727516.jpg,https://boardgamegeek.com/boardgame/233078
8,115746,War of the Ring: Second Edition,2011,2,4,150,240,13,8.55373,8.19988,25496,4.2304,23,15,https://cf.geekdo-images.com/ImPgGag98W6gpV1KV812aA__original/img/38jB7fN07DwlrGKYAf-J0vsNdgs=/0x0/filters:format(jpeg)/pic1215633.jpg,https://boardgamegeek.com/boardgame/115746
9,167791,Terraforming Mars,2016,1,5,120,120,12,8.3318,8.18014,114707,3.2726,38,15,https://cf.geekdo-images.com/wg9oOLcsKvDesSUdZQ4rxw__original/img/thIqWDnH9utKuoKVEUqveDixprI=/0x0/filters:format(jpeg)/pic3536616.jpg,https://boardgamegeek.com/boardgame/167791
10,187645,Star Wars: Rebellion,2016,2,4,180,240,14,8.4225,8.16842,36792,3.7529,17,15,https://cf.geekdo-images.com/7SrPNGBKg9IIsP4UQpOi8g__original/img/GKueTbkCk2Ramf6ai8mDj-BP6cI=/0x0/filters:format(jpeg)/pic4325841.jpg,https://boardgamegeek.com/boardgame/187645
11,162886,Spirit Island,2017,1,4,90,120,13,8.33989,8.1408,64377,4.0746,42,15,https://cf.geekdo-images.com/kjCm4ZvPjIZxS-mYgSPy1g__original/img/9uLd9C3XAvInLCLhAoXqKVk56zs=/0x0/filters:format(jpeg)/pic7013651.jpg,https://boardgamegeek.com/boardgame/162886
12,291457,Gloomhaven: Jaws of the Lion,2020,1,4,30,120,14,8.35201,8.09022,41809,3.643,19,15,https://cf.geekdo-images.com/_HhIdavYW-hid20Iq3hhmg__original/img/PBzsLRqNKQKJxGnzpb7o3qLWPQM=/0x0/filters:format(jpeg)/pic5055631.jpg,https://boardgamegeek.com/boardgame/291457
13,220308,Gaia Project,2017,1,4,60,150,12,8.34683,8.08383,31745,4.4037,20,15,https://cf.geekdo-images.com/hGWFm3hbMlCDsfCsauOQ4g__original/img/tjlflQtUPFiTpLpwk1NCVCS29Ic=/0x0/filters:format(png)/pic5375625.png,https://boardgamegeek.com/boardgame/220308
14,418059,SETI: Search for Extraterrestrial Intelligence,2024,1,4,40,160,14,8.4123,8.04633,21720,3.8347,16,15,https://cf.geekdo-images.com/_BUXOVRDU9g_eRwgpR5ZZw__original/img/28ob2JiASW8iX8XoVzp5Y25-h24=/0x0/filters:format(jpeg)/pic8160466.jpg,https://boardgamegeek.com/boardgame/418059
15,338960,Slay the Spire: The Board Game,2024,1,4,30,150,12,8.62111,8.04175,14120,2.9079,17,15,https://cf.geekdo-images.com/PQzVclEoOQ_wr4e1V86kxA__original/img/KXOf1hP1cIJQLabKhZulWP-e9wI=/0x0/filters:format(png)/pic8157856.png,https://boardgamegeek.com/boardgame/338960
